Codigo,Grupo,Partido,E1E2,Equipo,Equipo_gsub,GolesFavor_real,GolesContra_real,Pts_real,DiferenciaGoles_real,Ganado_real,Perdido_real,Empate_real,status_juego
W_56_E1,W,56,E2,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_57_E2,W,57,E1,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_57_E2,W,57,E2,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_58_E1,W,58,E1,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_58_E1,W,58,E2,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_59_E2,W,59,E1,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_59_E2,W,59,E2,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_60_E1,W,60,E1,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_60_E1,W,60,E2,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_61_E1,W,61,E1,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_61_E1,W,61,E2,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_62_E1,W,62,E1,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_62_E1,W,62,E2,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_63_E1,W,63,E1,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_63_E1,W,63,E2,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_64_E2,W,64,E1,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
W_64_E2,W,64,E2,por_definir,por_definir,0,0,0,0,0,0,0,por_jugar
